CGtC98 href,DByuf4 src,uu79Xy,KzDlHZ,XQDdHH,Wphh3N,hG7V+4,Wphh3N 2,J+igdf,J+igdf 2,J+igdf 3,J+igdf 4,J+igdf 5,J+igdf 6,J+igdf 7,Nx9bqj,yRaY8j,UkUFwK,_0CSTHy src,yiggsN,yiggsN 2,yiggsN 3,yiggsN 4,vfSpSs,DByuf4 src 2
https://www.flipkart.com/hp-victus-intel-core-i5-14th-gen-14450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-16-r1703tx-16-r1705tx-gaming-laptop/p/itm19af10132bd82?pid=COMHBZT389VW3CYA&lid=LSTCOMHBZT389VW3CYAJL8SLH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&fm=organic&iid=en_QHsSn2FpdlLDq5g4Y5Z5vbAu20EZzYe-KCWbk0G8f5o4FBTbUFrhbZ-AeBUAkpO5uEa-FK2lDLqUp4cBgRLtDfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/m/p/-original-imahgpw3bq4h8yky.jpeg?q=70,Add to Compare,HP Victus Intel Core i5 14th Gen 14450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,4.1,279 Ratings,&,31 Reviews,Intel Core i5 Processor (14th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,40.89 cm (16.1 inch) Display,"Microsoft Office Home 2024, 1 Yearr M365 Basic, Misc PC Game Pass DA 3M",1 Year Onsite Warranty,"₹82,990","₹96,958",14% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,,
https://www.flipkart.com/hp-victus-ai-31-tops-amd-ryzen-5-hexa-core-8645hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-15-fb3003ax-gaming-laptop/p/itm515d20da2ddd0?pid=COMH8XZFKQRGWMWT&lid=LSTCOMH8XZFKQRGWMWTPAZF4H&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMH8XZFKQRGWMWT.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/e/f/-original-imahgfdf2bdz6ydf.jpeg?q=70,Add to Compare,HP Victus AI 31 TOPS AMD Ryzen 5 Hexa Core 8645HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,4.3,342 Ratings,&,32 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,,"₹57,990","₹73,930",21% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,,
https://www.flipkart.com/asus-vivobook-pro-15-creator-amd-ryzen-5-hexa-core-5600hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-50-tgp-m6500qc-hn542ws-gaming-laptop/p/itm115b407a3da76?pid=COMGNP9PAR67CM7F&lid=LSTCOMGNP9PAR67CM7F76UTGD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_3&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMGNP9PAR67CM7F.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/s/4/m6500qc-hn742ws-creator-laptop-asus-original-imagnpk8aquksxgr.jpeg?q=70,Add to Compare,"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (16 GB/512 GB SSD/Windows 11 Home/4 G...",4.2,20 Ratings,&,2 Reviews,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",1 Year Onsite Warranty,"₹71,999","₹78,990",8% off,,Only 2 left,Bank Offer,,,,
https://www.flipkart.com/lenovo-loq-amd-ryzen-7-octa-core-7435hs-24-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050a-15arp9d2-gaming-laptop/p/itm86f5086acbf1d?pid=COMHBZVGCNDSNJMM&lid=LSTCOMHBZVGCNDSNJMMVNFLXS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHBZVGCNDSNJMM.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/m/3/-original-imahfkh3vyqhty4r.jpeg?q=70,Add to Compare,Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,4.5,95 Ratings,&,7 Reviews,AMD Ryzen 7 Octa Core Processor,24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home 2024,1 Year Carry-in Warranty,"₹71,290","₹93,190",23% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,,
https://www.flipkart.com/hp-victus-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa2700tx-gaming-laptop/p/itme78f3d1eccc64?pid=COMH8VXVWNPAZCSX&lid=LSTCOMH8VXVWNPAZCSX2Q0ZXU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMH8VXVWNPAZCSX.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/p/a/-original-imahgfdfykqknkh3.jpeg?q=70,Add to Compare,HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,4.2,638 Ratings,&,31 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 and Microsoft Office Home & Student Edition 2024,1 Year Carry-in Warranty,"₹69,990","₹87,262",19% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,,
https://www.flipkart.com/asus-vivobook-16x-2025-creator-office-2024-m365-basic-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-k3605vc-rp413ws-gaming-laptop/p/itmec40249e8fe47?pid=COMH9499MNGSKSBV&lid=LSTCOMH9499MNGSKSBVOF6KTA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMH9499MNGSKSBV.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/8/6/-original-imahgfdfs7spfjwe.jpeg?q=70,Add to Compare,"ASUS Vivobook 16X (2025) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H - (1...",4.2,"1,205 Ratings",&,66 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 Inch) Display,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic (1-Year Validity),�McAfee -1 year, One-Month Membership of Adobe Creative Cloud All Apps",1 Year Onsite Warranty,"₹65,990","₹89,990",26% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,,
https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-24-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050a-15irx9-gaming-laptop/p/itm8b15bba732922?pid=COMHBZVGZTZKVHBR&lid=LSTCOMHBZVGZTZKVHBRZQXWRV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHBZVGZTZKVHBR.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/u/a/-original-imahfkh3shpaftkh.jpeg?q=70,Add to Compare,Lenovo LOQ Intel Core i5 13th Gen 13450HX - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,"2,404 Ratings",&,183 Reviews,Intel Core i5 Processor (13th Gen),24 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home 2024,1 Year Carry-in Warranty,"₹76,990","₹99,790",22% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Upto,"₹50,950",Off on Exchange,Bank Offer,,
https://www.flipkart.com/msi-thin-15-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-b13udx-3223in-gaming-laptop/p/itm850dabf8c0dd3?pid=COMHCRGWUFP39CBY&lid=LSTCOMHCRGWUFP39CBYTS9GI8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHCRGWUFP39CBY.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/c/6/-original-imahgfdfn63h7j2d.jpeg?q=70,Add to Compare,MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.2,130 Ratings,&,13 Reviews,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year On-Site Warranty,,"₹66,990","₹80,990",17% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Only few left,Upto,"₹50,950",Off on Exchange,,
https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-15irh8-gaming-laptop/p/itme091d6103d2b3?pid=COMGRC9RP8H4FWCD&lid=LSTCOMGRC9RP8H4FWCDDBKKKM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMGRC9RP8H4FWCD.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/h/z/-original-imahfkh3wcuyb7cj.jpeg?q=70,Add to Compare,Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,4.2,947 Ratings,&,114 Reviews,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹67,990","₹1,05,890",35% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Only 1 left,Bank Offer,,,,
https://www.flipkart.com/asus-tuf-gaming-f16-2025-office-2024-m365-basic-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-fx677vu-rl155ws-laptop/p/itm20da9b0404ed0?pid=COMHA9ECBNF8Z68D&lid=LSTCOMHA9ECBNF8Z68DQGHIWZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&fm=organic&iid=05ad2e2a-b5df-48b5-b0f1-4fe43916ea4a.COMHA9ECBNF8Z68D.SEARCH&ppt=None&ppn=None&ssid=0tt7h79hb40000001762430994225,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/p/m/-original-imahdetphyby33zu.jpeg?q=70,Add to Compare,"ASUS TUF Gaming F16 (2025) with Office 2024 + M365 Basic*, Intel Core i7 13th Gen 13620H - (16 GB/512 ...",4.6,33 Ratings,&,3 Reviews,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,40.64 cm (16 Inch) Display,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), , McAfee 1 year, Xbox Game Pass for 3 months",1 Year Onsite Warranty,"₹93,990","₹1,13,990",17% off,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png,Only 3 left,Upto,"₹50,950",Off on Exchange,,
